feature,importance
game_phase_opening,0.06208886
ply_number,0.056709632
game_phase_middlegame,0.030663978
game_phase_endgame,0.023195624
player_elo,0.019823756
time_control_type_bullet,0.018659214
is_in_check,0.018491307
time_control_type_blitz,0.018373044
square_h6,0.018228382
square_f7,0.018127032
material_balance,0.017805032
square_d5,0.017763559
square_e5,0.017216302
square_c6,0.016692791
square_f3,0.01606019
square_a1,0.015774079
square_b1,0.014993158
square_f2,0.01457846
square_g3,0.014543604
square_a6,0.01439008
square_b3,0.014236869
square_c7,0.013826195
square_c2,0.013639118
square_d4,0.013280938
square_g5,0.012812134
square_a4,0.01270538
square_d8,0.012456893
square_c3,0.012420429
square_f5,0.012326672
square_d6,0.012297537
square_d2,0.012221983
square_g8,0.012206984
square_b4,0.012164149
square_c1,0.012044692
square_d1,0.011467026
square_e6,0.0114323
square_e3,0.011321264
square_b7,0.011311164
square_g6,0.010971095
time_control_type_rapid,0.010723588
square_g4,0.010550328
square_a5,0.010251298
square_e4,0.0101144435
square_e7,0.010025877
square_g1,0.009924768
square_f6,0.009909927
square_c5,0.009890775
square_c4,0.009727684
square_b5,0.009690603
square_e1,0.0096291015
square_h1,0.009451236
square_h7,0.009327212
square_e8,0.00929048
square_h4,0.00926847
square_h8,0.009103698
square_d7,0.008963855
square_g2,0.008877926
square_b8,0.008822444
square_f8,0.008789911
square_g7,0.008766316
square_a8,0.008747714
square_c8,0.008688885
time_control_type_None,0.008623702
square_h2,0.008623517
square_e2,0.008334681
square_f1,0.00790348
time_control_type_classical,0.007772395
square_f4,0.0074605686
square_b6,0.007311176
square_a7,0.0072531663
square_a3,0.0071377656
square_h5,0.00712269
square_d3,0.0067510786
square_h3,0.006733968
square_b2,0.006027712
square_a2,0.0050867517
year,0.0
