threshold,precision,recall,f1
0.05,0.036661698956780925,0.984,0.0706896551724138
0.1,0.040293040293040296,0.968,0.07736572890025575
0.15,0.044084400904295405,0.936,0.08420295070169126
0.2,0.04967320261437908,0.912,0.09421487603305785
0.25,0.05260545905707196,0.848,0.09906542056074766
0.3,0.05732122587968218,0.808,0.10704822469528352
0.35,0.06135770234986945,0.752,0.11345805672902837
0.4,0.06542056074766354,0.672,0.11923349893541518
0.45,0.07149404216315307,0.624,0.12828947368421054
0.5,0.07734204793028322,0.568,0.1361457334611697
0.55,0.08586525759577279,0.52,0.1473922902494331
0.6,0.08945686900958466,0.448,0.14913448735019974
0.65,0.08921161825726141,0.344,0.1416803953871499
0.7,0.10975609756097561,0.288,0.15894039735099338
0.75,0.13302752293577982,0.232,0.16909620991253643
0.8,0.14173228346456693,0.144,0.14285714285714285
0.85,0.22,0.088,0.12571428571428572
0.9,0.3333333333333333,0.024,0.04477611940298507
0.95,0.0,0.0,0.0
