feature,importance
game_length,0.2232963
legal_prefix_length,0.16351356
capture_count,0.1119518
elo_diff,0.080746084
abs_elo_diff,0.07606025
has_capture,0.03890566
opening_variation_King's Pawn,0.029465348
opening_family_King's Pawn,0.027303426
black_castled,0.02688964
opening_family_Queen's Pawn,0.024426188
opening_variation_Queen's Pawn,0.023907108
time_control_type_classical,0.01883729
white_castled,0.018797671
time_control_type_bullet,0.017370492
base_time_seconds,0.015940042
increment_seconds,0.014366506
time_control_type_None,0.01368603
opening_variation_King's Pawn Game,0.009095062
opening_variation_English Opening,0.008875275
black_elo,0.008792469
white_elo,0.008402051
eco_code_?,0.008268231
opening_family_Reti Opening,0.007542975
eco_code_A41,0.004627994
eco_code_A40,0.0033767838
opening_variation_King's Knight Opening,0.0028578641
time_control_type_blitz,0.0026848132
eco_code_B01,0.0017853576
opening_family_Queen's Pawn Game,0.0009964693
eco_code_A00,0.0009525951
eco_code_A07,0.0006103085
opening_variation_Indian Game,0.000602509
opening_variation_Sicilian Defense: Hyperaccelerated Fianchetto,0.000572612
eco_code_C20,0.00053460704
opening_variation_Caro-Kann Defense: Karpov Variation,0.0005054716
opening_family_Ruy Lopez,0.00049705716
"opening_variation_Queen's Gambit Refused: Chigorin Defense, Main Line",0.00046148454
time_control_type_rapid,0.00043443101
opening_family_Danish Gambit Accepted,0.00043171714
eco_code_C28,0.00041908247
eco_code_E16,0.0004080264
opening_variation_Zukertort Opening: Lisitsyn Gambit Deferred,0.00028172784
"opening_variation_Caro-Kann Defense: Advance Variation, Tal Variation",0.00026691027
opening_family_Sicilian Defense #2,0.00016355292
opening_variation_Dutch Defense: Raphael Variation,4.0468483e-05
opening_variation_Caro-Kann Defense: Accelerated Panov Attack #2,2.4812201e-05
opening_variation_Queen's Gambit Refused: Marshall Defense,2.3896371e-05
opening_variation_Pirc Defense: Austrian Attack,0.0
"opening_variation_Pirc Defense: Austrian Attack, Kurajica Variation",0.0
"opening_variation_Pirc Defense: Austrian Attack, Ljubojevic Variation",0.0
opening_variation_Pirc Defense: Austrian Attack #2,0.0
"opening_variation_Pirc Defense: Austrian Attack, Dragon Formation",0.0
eco_code_A05,0.0
"opening_variation_Pirc Defense: Austrian Attack, Unzicker Attack",0.0
